Rank,Percentile,compound loc,City,State,CS,Population,Average weekly hours worked,average travel time to work in minutes,Median gross rent as a percentage of monthly income,percentage of population with health insurance coverage,Percentage of residents whoe income in the last 12 months was below the poverty level,Unemployment Rate ,Score,lat,lon
35,80.20%,"Anchorage, Alaska",Anchorage,AK,"Anchorage, AK","298,192",40,18,37.90%,89.30%,3.90%,5.20%,72.22,61.2180556,-149.9002778
86,51.40%,"Montgomery, Alabama",Montgomery,AL,"Montgomery, AL","200,024",38.8,20.6,35.70%,89.50%,15.00%,7.90%,64.72,32.3666667,-86.3
89,49.70%,"Mobile, Alabama",Mobile,AL,"Mobile, AL","192,895",38.3,21.9,37.00%,87.90%,16.60%,7.00%,63.86,30.6941667,-88.0430556
14,92.10%,"Huntsville, Alabama",Huntsville,AL,"Huntsville, AL","196,225",37.8,19.7,31.20%,91.00%,14.00%,5.00%,74.03,34.7302778,-86.5861111
133,24.90%,"Birmingham, Alabama",Birmingham,AL,"Birmingham, AL","213,434",38.8,21.6,37.00%,88.30%,19.00%,9.90%,58.3,33.5205556,-86.8025
8,95.50%,"Little Rock, Arkansas",Little Rock,AR,"Little Rock, AR","198,546",38.9,18.1,32.20%,91.80%,11.80%,4.00%,75.11,34.7463889,-92.2894444
77,56.50%,"Mesa, Arizona",Mesa,AZ,"Mesa, AZ","484,622",38.1,24.9,38.40%,88.50%,12.90%,5.60%,66.09,33.4222222,-111.8219444
23,87.00%,"Chandler, Arizona",Chandler,AZ,"Chandler, AZ","247,459",40,24.4,35.40%,94.60%,5.50%,3.80%,73.07,33.3061111,-111.8405556
10,94.40%,"Scottsdale, Arizona",Scottsdale,AZ,"Scottsdale, AZ","246,646",39.9,22.9,32.20%,93.70%,5.90%,3.50%,74.91,33.5091667,-111.8983333
11,93.80%,"Tempe, Arizona",Tempe,AZ,"Tempe, AZ","182,499",36.8,20.9,44.00%,91.70%,10.10%,4.80%,74.11,33.4147222,-111.9086111
84,52.50%,"Tucson, Arizona",Tucson,AZ,"Tucson, AZ","530,690",36.3,21.7,42.20%,89.80%,17.90%,8.90%,64.94,32.2216667,-110.9258333
50,71.80%,"Gilbert, Arizona",Gilbert,AZ,"Gilbert, AZ","237,120",39.6,26.9,38.80%,94.90%,3.70%,6.20%,69.61,33.3527778,-111.7883333
60,66.10%,"Peoria, Arizona",Peoria,AZ,"Peoria, AZ","164,198",39.5,28.2,36.40%,93.70%,5.40%,6.50%,67.81,33.5805556,-112.2366667
116,34.50%,"Phoenix, Arizona",Phoenix,AZ,"Phoenix, AZ","1,615,041",38.9,26.1,37.60%,86.30%,16.10%,5.90%,60.32,33.4483333,-112.0733333
96,45.80%,"Glendale, Arizona",Glendale,AZ,"Glendale, AZ","245,849",39,28.2,36.00%,87.70%,12.20%,5.10%,63.3,33.5386111,-112.1852778
29,83.60%,"Elk Grove, California",Elk Grove,CA,"Elk Grove, CA","169,780",38.2,30.1,43.10%,98.30%,6.20%,4.10%,72.56,38.4088889,-121.3705556
99,44.10%,"Modesto, California",Modesto,CA,"Modesto, CA","212,172",38.2,28.5,43.00%,94.30%,9.20%,9.40%,63.11,37.6391667,-120.9958333
